link,price,pid,name
http://www.amazon.in/Apple-iPhone-5s-Space-Grey/dp/B00FXLC9V4,41088,B00FXLC9V4,"Apple iPhone 5s (Space Grey, 16GB)"
http://www.amazon.in/Micromax-A064-Bolt-Black/dp/B00N4OCFPM,3429,B00N4OCFPM,Micromax Bolt A064 Black
http://www.amazon.in/Asus-Zenfone-Cherry-Red-16GB/dp/B00LOBKDTC,12390,B00LOBKDTC,"Asus Zenfone 5 (Cherry Red, 16GB)"
http://www.amazon.in/Sony-Xperia-C-Purple/dp/B00FMSDEVM,14002,B00FMSDEVM,Sony Xperia C (Purple)
http://www.amazon.in/Samsung-Galaxy-Grand-Neo-White/dp/B00IKC6FZY,12449,B00IKC6FZY,Samsung Galaxy Grand Neo (White)
http://www.amazon.in/Samsung-Galaxy-Star-GT-S7262-White/dp/B00FOH0G8K,7550,B00FOH0G8K,Samsung Galaxy Star Pro GT-S7262 (White)
"http://www.amazon.in/Lava-Iris-X1-Black-8GB/dp/B00MIRXONI,http://www.amazon.in/Lava-Iris-X1-Black-8GB/dp/B00MIRXONI",6999,B00MIRXONI,"Lava Iris X1 (Black, 8GB)"
http://www.amazon.in/LG-G3-D855-Titan-32GB/dp/B00KMUL5HA,36748,B00KMUL5HA,"LG G3 D855 (Titan Titan, 32GB)"
"http://www.amazon.in/Samsung-Gear-S-Black/dp/B00P2DUW3U,http://www.amazon.in/Samsung-Gear-S-Black/dp/B00P2DUW3U",27900,B00P2DUW3U,Samsung Gear S (Black)
http://www.amazon.in/Nokia-107-Dual-SIM-Black/dp/B00ESZ8CDK,1573,B00ESZ8CDK,"Nokia 107 (Dual SIM, Black)"
http://www.amazon.in/HTC-820-Desire/dp/B00P8W3H14,24890,B00P8W3H14,HTC Desire 820
http://www.amazon.in/Gionee-M2-Black-8GB/dp/B00M3RILJU,10265,B00M3RILJU,"Gionee M2 (Black, 8GB)"
http://www.amazon.in/Micromax-Canvas-Fire-A104-White-Silver/dp/B00N8OS2R8,5996,B00N8OS2R8,Micromax Canvas Fire A104 (White-Silver)
http://www.amazon.in/Samsung-Galaxy-GT-S7262-Midnight-Black/dp/B00G8UGSGG,5490,B00G8UGSGG,Samsung Galaxy Star Pro GT-S7262 (Midnight Black)
http://www.amazon.in/Nokia-XL-White-Dual-SIM/dp/B00IXD0QMS,8629,B00IXD0QMS,"Nokia XL (White, Dual SIM)"
http://www.amazon.in/XOLO-A500s-Lite-a500s-white/dp/B00KVF31JG,4619,B00KVF31JG,Xolo a500s Lite white
http://www.amazon.in/Devante-Subway-Series-Dynamite-Phone/dp/B00KYJTQ70,650,B00KYJTQ70,Devante Subway Series Dynamite Phone
http://www.amazon.in/Nokia-Lumia-630-Single-Black/dp/B00L0YFXVQ,6954,B00L0YFXVQ,"Nokia Lumia 630 (Single SIM, Black)"
http://www.amazon.in/Apple-iPhone-5c-White-8GB/dp/B00L8WT2UI,27997,B00L8WT2UI,"Apple iPhone 5c (White, 8GB)"
http://www.amazon.in/Micromax-Canvas-Doodle-A102-Blue/dp/B00JUZHVEO,6798,B00JUZHVEO,Micromax Canvas Doodle 3 A102 (Blue)
http://www.amazon.in/Samsung-Metro-GT-C3322-Midnight-Black/dp/B005TEKZ4S,3450,B005TEKZ4S,Samsung Metro Duos GT-C3322 (Midnight Black)
http://www.amazon.in/Micromax-Canvas-Knight-A290-White-Gold/dp/B00MVUHKBE,9452,B00MVUHKBE,Micromax Canvas Knight Cameo A290 (White-Gold)
http://www.amazon.in/Nokia-108-Dual-SIM-Black/dp/B00FFRCLJQ,1916,B00FFRCLJQ,"Nokia 108 (Dual SIM, Black)"
http://www.amazon.in/Samsung-Galaxy-Note-SM-N9000-Black/dp/B00F84QJUI,39900,B00F84QJUI,Samsung Galaxy Note 3 SM-N9000 (Jet Black)
http://www.amazon.in/LG-L90-Dual-D410-Black/dp/B00JEDM92G,12180,B00JEDM92G,LG L90 Dual D410 (Black)
http://www.amazon.in/Micromax-Canvas-Fire-A104-White-Gold/dp/B00M3RIHEE,5998,B00M3RIHEE,Micromax Canvas Fire A104 (White-Gold)
http://www.amazon.in/Samsung-Guru-GT-E1200-Indigo-Blue/dp/B008OPT50Y,1205,B008OPT50Y,Samsung Guru GT-E1200 (Indigo Blue)
http://www.amazon.in/Jivi-JSP-20-Black/dp/B00NOV3NQU,1999,B00NOV3NQU,Jivi JSP 20 (Black)
http://www.amazon.in/Lava-Iris-X5-Black/dp/B00NOH4JB2,8649,B00NOH4JB2,Lava Iris X5 (Black)
http://www.amazon.in/Nokia-625-Lumia-Green/dp/B00EOPJOM2,8999,B00EOPJOM2,Nokia Lumia 625 (Green)
http://www.amazon.in/Samsung-Galaxy-Quattro-GT-I8552-Ceramic/dp/B00CTKUV4Y,11600,B00CTKUV4Y,Samsung Galaxy Grand Quattro GT-I8552 (Ceramic White)
