link,price,pid,name
/htc-desire-616-dual-sim/p/itmdy3h6zahyc6w6?pid=MOBDY3H2X9FZNNSE&srno=b_122&ref=e0212e68-2ef6-4855-8d73-aee7e0a30b8f,"Rs. 14,469",MOBDY3H2X9FZNNSE,HTC Desire 616 Dual Sim (Pearl White)
/intex-aqua-t2-kitkat/p/itmdzmbxhuqzgqhf?pid=MOBDZMBZXHYRWDRK&srno=b_123&ref=e0212e68-2ef6-4855-8d73-aee7e0a30b8f,"Rs. 2,690",MOBDZMBZXHYRWDRK,Intex Aqua T2 KitKat (Black)
/nokia-lumia-1320/p/itmdv6f6skfh4ak6?pid=MOBDS2AAE6FYSTMC&srno=b_124&ref=e0212e68-2ef6-4855-8d73-aee7e0a30b8f,"Rs. 17,346",MOBDS2AAE6FYSTMC,Nokia Lumia 1320 (Black)
/nokia-220/p/itmdxghbwehx6xzq?pid=MOBDUGTKBSQ8ZG5J&srno=b_125&ref=e0212e68-2ef6-4855-8d73-aee7e0a30b8f,"Rs. 2,850",MOBDUGTKBSQ8ZG5J,Nokia 220 (Yellow)
/lava-arc-111/p/itmdu5q6hu8br8ge?pid=MOBDU5Q6MKXCTJKZ&srno=b_126&ref=e0212e68-2ef6-4855-8d73-aee7e0a30b8f,Rs. 949,MOBDU5Q6MKXCTJKZ,Lava Arc 111 (Black & Yellow)
/apple-iphone-5s/p/itmdv6f75dyxhmt4?pid=MOBDPPZZPXVDJHSQ&srno=b_127&ref=e0212e68-2ef6-4855-8d73-aee7e0a30b8f,"Rs. 42,589",MOBDPPZZPXVDJHSQ,"Apple iPhone 5S (Space Grey, with 16 GB)"
/micromax-canvas-gold-a300/p/itmdxga3qsxssvhr?pid=MOBDXF7RJZGAPESB&srno=b_128&ref=e0212e68-2ef6-4855-8d73-aee7e0a30b8f,"Rs. 13,493",MOBDXF7RJZGAPESB,Micromax Canvas Gold A300 (White Gold)
/karbonn-smart-a11-star/p/itmeyfqdx4fyp7bq?pid=MOBDWMQWGCJ5GFGB&srno=b_129&ref=e0212e68-2ef6-4855-8d73-aee7e0a30b8f,"Rs. 4,499",MOBDWMQWGCJ5GFGB,Karbonn Smart A11 Star (White)
/lava-iris-x1-8-gb-rom/p/itmeyawyjyarhzjb?pid=MOBEY7ZMPEBFEYHF&srno=b_130&ref=e0212e68-2ef6-4855-8d73-aee7e0a30b8f,"Rs. 6,999",MOBEY7ZMPEBFEYHF,"Lava Iris X1 (8 GB ROM) (White & Gold, with 8 GB ROM)"
/nokia-lumia-630-single-sim/p/itmdynygqtnd8jzt?pid=MOBDWUAZXPTGRHGV&srno=b_131&ref=e0212e68-2ef6-4855-8d73-aee7e0a30b8f,"Rs. 7,850",MOBDWUAZXPTGRHGV,Nokia Lumia 630 Single SIM (Black)
